id,SurveyId,HAEntityId,NPI_Number,ServiceType
78619,56037,856078,1821025990,Hospital
78620,56038,856084,1104902352,Hospital
78621,56038,856084,1942398029,Hospital
78622,56039,856087,1154361814,Hospital
78623,56040,856092,1194983510,Hospital
78624,56040,856092,1306970439,Hospital
78625,56040,856092,1316070402,Hospital
78626,56040,856092,1558492546,Hospital
78627,56040,856092,1609900372,Hospital
78628,56040,856092,1821066820,Hospital
78629,56040,856092,1831222991,Hospital
78630,56040,856092,1942333000,Hospital
78631,56041,856097,1891733879,Hospital
78632,56042,856100,1730258971,Hospital
78633,56043,856104,1184711475,Hospital
78634,56044,856110,1194779702,Hospital
78635,56044,856111,1013961507,Hospital
78636,56044,856112,1306890942,Hospital
78637,56044,856113,1700830247,Hospital
78638,56045,856146,1235167750,Hospital
78639,56046,856152,1376552893,Hospital
78640,56047,856159,1043423791,Hospital
78641,56047,856159,1063627446,Hospital
78642,56047,856159,1164635819,Hospital
78643,56047,856159,1417989278,Hospital
78644,56047,856159,1457564106,Hospital
78645,56047,856159,1710191861,Hospital
78646,56047,856159,1902807936,Hospital
78647,56047,856159,1912111063,Hospital
78648,56047,856159,1912127564,Hospital
78649,56047,856159,1952514606,Hospital
78650,56047,856159,1851511380,Hospital
78651,56048,856163,1215936927,Hospital
78652,56048,856163,1942272901,Hospital
78653,56048,856164,1265622831,Hospital
78654,56048,856164,1124073465,Hospital
78655,56049,856193,1003962077,Hospital
78656,56049,856193,1093830010,Hospital
78657,56049,856193,1194871160,Hospital
78658,56049,856193,1346320496,Hospital
78659,56049,856193,1407911829,Hospital
78660,56049,856193,1780653386,Hospital
78661,56049,856193,1912053984,Hospital
78662,56049,856193,1942365903,Hospital
78663,56049,856193,1982769949,Hospital
78682,56049,856201,1295789907,Hospital
78683,56049,856201,1699829887,Hospital
78684,56049,856202,1497792550,Hospital
78685,56049,856202,1821039975,Hospital
78686,56049,856204,1326088139,Hospital
78687,56049,856204,1821329434,Hospital
78688,56049,856204,1194056705,Hospital
78689,56049,856205,1700860491,Hospital
78690,56049,856206,1396790325,Hospital
78691,56049,856207,1013918747,Hospital
78692,56049,856207,1649431503,Hospital
78693,56049,856208,1265407175,Hospital
78694,56049,856209,1326010273,Hospital
78695,56049,856210,1376537555,Hospital
78696,56049,856211,1497744254,Hospital
78697,56049,856214,1477591055,Hospital
78698,56049,856216,1295755536,Hospital
78699,56049,856216,1417919531,Hospital
78700,56049,856216,1649290982,Hospital
78667,56049,856195,1457345597,Hospital
78668,56049,856196,1144419052,Hospital
78669,56049,856196,1245373455,Hospital
78670,56049,856196,1306035829,Hospital
78671,56049,856196,1316136328,Hospital
78672,56049,856196,1497944912,Hospital
78673,56049,856196,1871776914,Hospital
78675,56049,856198,1093711525,Hospital
78676,56049,856198,1487866315,Hospital
78677,56049,856199,1275793192,Hospital
78678,56049,856199,1346297892,Hospital
78679,56049,856200,1093708711,Hospital
78680,56049,856200,1972586691,Hospital
78681,56049,856200,1750443792,Hospital
78701,56050,856773,1649388356,Hospital
78702,56050,856773,1871600858,Hospital
78703,56050,856773,1336137686,Hospital
78704,56050,856773,1194713404,Hospital
78705,56050,856773,1871642439,Hospital
78706,56051,856778,1437187044,Hospital
78707,56052,856782,1568528594,Hospital
78708,56053,856785,1689779324,Hospital
78709,56053,856785,1760455687,Hospital
78710,56053,856785,1952483653,Hospital
78711,56053,856785,1528164720,Hospital
78712,56054,856787,1255387403,Hospital
78713,56055,856790,1154402972,Hospital
78714,56055,856790,1497812077,Hospital
78715,56055,856790,1669539235,Hospital
78716,56056,856794,1760443980,Hospital
78717,56056,856794,1952607152,Hospital
78718,56056,856795,1033313861,Hospital
78719,56056,856795,1194750232,Hospital
